billnumber,itemname,entrydate,totalamount,suppliername,suppliercode,supplierbillnumber
GRN-2943-PH,VITAL SIGN MONITOR M3 (EDAN),22-11-2019,130000,HARLEYS LIMITED,03-1500-139,HAR/FIN/INV/SIN1911MSA86859
GRN-2929-PH,RIESTER STETHOSCOPE PROFESSIONAL WITH 3 CHEST,25-11-2019,13600,CAVASH SUPPLIES,03-1500-472,13600
GRN-2928-PH,WORKING ELEMENT (ALSO FOR USE WITH OPTICAL URETHROTOME) MOTION BY MEANS OF A SPRING.,22-11-2019,186886,CROWN HEALTHCARE,03-1500-78,SNV310625
GRN-2806-PH,SPIRAL HANDSET WIRE,18-11-2019,4000,KEN COMP EXPERTS LTD,03-1500-183,14317-KEN COMPUTERS
GRN-2806-PH,TV WALL MOUNT (STATIONARY),18-11-2019,4000,KEN COMP EXPERTS LTD,03-1500-183,14317-KEN COMPUTERS
GRN-2711-PH,HAIER 32,17-11-2019,57980,NAIVAS LIMITED,03-1500-269,2.11011E+13
GRN-2586-PH,CP MAIN ASSEMBLY KEYBOARD-11254266,14-11-2019,98600,MEDITEC SYSTEMS LIMITED,03-1500-241,INV13917
GRN-2102-PH,Telephone headset FANVIL,23-10-2019,28500,CRYSTAL TECHNOLOGIES LIMITED,03-1500-80,139
GRN-1935-PH," APC Back-UPS 700VA (BX700UI): 230V, AVR, IEC SOCKET-BLACK",12-09-2019,94000,CRYSTAL TECHNOLOGIES LIMITED,03-1500-80,CRY/PINV/122
GRN-1935-PH, APC 1400VA 1.4KVA BX1400UI BACK-UPS 230V AVR IEC SOCKETS-BLACK,12-09-2019,94000,CRYSTAL TECHNOLOGIES LIMITED,03-1500-80,CRY/PINV/122
GRN-1898-PH,RIESTER LARYNGOSCOPE MACKINTOSH INFANT 3 BLADES RI-STANDARD (Sz.012) Rt-7050,09-10-2019,53999.16,CROWN HEALTHCARE,03-1500-78,SNV305863
GRN-1898-PH,RIESTER STETHOSCOPE PROFESSIONAL WITH 3 CHEST PCS TRISTAR,09-10-2019,53999.16,CROWN HEALTHCARE,03-1500-78,SNV305863
GRN-1898-PH,SECA 874 MOTHER AND CHILD SCALE ELECTRONIC 200KG,09-10-2019,53999.16,CROWN HEALTHCARE,03-1500-78,SNV305863
GRN-1898-PH,SECA 217 STADIOMETER TRANSPORTABLE,09-10-2019,53999.16,CROWN HEALTHCARE,03-1500-78,SNV305863
GRN-1750-PH,"	HP Desktop Pro G2 MT/PDCold5400 / 8GB / 500GB HDD / Windows 10 Pro 64 bit / DVD-WR / 1 yw / kbd / mouse USB / V 197 18.5 In",20-09-2019,399000,DACHA SOLUTIONS,03-2000-144,358
GRN-1728-PH,Von Hotpoint HKT50CS/VSKT50BYX 5.0 Litre Traditional Kettle - Stainless Steel,12-09-2019,2800,HOT POINT  APPLIANCES LTD,03-1500-153,2800
GRN-1673-PH,BABY COTS,26-09-2019,83600,NAWAL CENTRE,03-1500-272,664058
GRN-1666-PH,D-LINK PATCH CORD 3 METERS,26-09-2019,5200,INK CONCEPTS,03-1500-454,12
GRN-1666-PH,BACK TO BACK UPS CABLES,26-09-2019,5200,INK CONCEPTS,03-1500-454,12
GRN-1666-PH,UPS BATTERIES COMPACTIBLE WITH APC 700 VA UPS,26-09-2019,5200,INK CONCEPTS,03-1500-454,12
GRN-1662-PH,TUMBLER GLASSES(DURA KENSTAR),13-09-2019,1500,CASH VENDOR,03-1500-455,1500
GRN-1593-PH,WATER JUGS (CLEAR ARC JUGS),13-09-2019,7628.16,EAST AFRICA GLASSWARE MART LTD,03-1500-97,2197173
GRN-1591-PH,OFFICE TABLE 1.5MTS (VS),04-09-2019,30582,FAIRDEAL FURNITURE,03-1500-117,PLZ/INV/3856
GRN-1591-PH,MOBILE PEDESTAL 3 DRW (VS),04-09-2019,30582,FAIRDEAL FURNITURE,03-1500-117,PLZ/INV/3856
